circuit,tournament,country,year,date,gender,match_num,w_player1,w_p1_birthdate,w_p1_age,w_p1_hgt,w_p1_country,w_player2,w_p2_birthdate,w_p2_age,w_p2_hgt,w_p2_country,w_rank,l_player1,l_p1_birthdate,l_p1_age,l_p1_hgt,l_p1_country,l_player2,l_p2_birthdate,l_p2_age,l_p2_hgt,l_p2_country,l_rank,score,duration,bracket,round,w_p1_tot_attacks,w_p1_tot_kills,w_p1_tot_errors,w_p1_tot_hitpct,w_p1_tot_aces,w_p1_tot_serve_errors,w_p1_tot_blocks,w_p1_tot_digs,w_p2_tot_attacks,w_p2_tot_kills,w_p2_tot_errors,w_p2_tot_hitpct,w_p2_tot_aces,w_p2_tot_serve_errors,w_p2_tot_blocks,w_p2_tot_digs,l_p1_tot_attacks,l_p1_tot_kills,l_p1_tot_errors,l_p1_tot_hitpct,l_p1_tot_aces,l_p1_tot_serve_errors,l_p1_tot_blocks,l_p1_tot_digs,l_p2_tot_attacks,l_p2_tot_kills,l_p2_tot_errors,l_p2_tot_hitpct,l_p2_tot_aces,l_p2_tot_serve_errors,l_p2_tot_blocks,l_p2_tot_digs
FIVB,Seoul,Korea,2007,2007-05-30,W,20,Linjun Ji,1986-05-03,21.0732375,72,China,Ying Zhang,1983-08-15,23.7891855,72,China,"26, Q4",Heike Jensen,1984-10-27,22.587269,73,Australia,Summer Lochowicz,1978-03-30,29.1663244,70,Australia,Q13,"21-16, 21-11",00:34:00,Qualifier Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Fortaleza,Brazil,2016,2016-04-26,M,68,Juan Virgen,1987-04-09,29.0485969,78,Mexico,Lombardo Ontiveros,1983-11-09,32.4626968,74,Mexico,3,Christian Sorum,1995-12-03,20.3969884,76,Norway,Morten Kvamsdal,1989-09-10,26.6255989,77,Norway,17,"21-17, 21-17",00:36:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,The Hague,Netherlands,2015,2015-06-26,W,46,Dominika Nestarcova,1984-12-12,30.5352498,70,Slovak Republic,Natalia Dubovcova,1990-07-05,24.9746749,74,Slovak Republic,14,Karen Charles,1985-11-06,29.6344969,68,Costa Rica,Natalia Alfaro,1987-04-08,28.2162902,65,Costa Rica,38,"21-17, 21-7",00:31:00,Pool K,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Marseille,France,2006,2006-07-04,W,43,Adriana Behar,1969-02-14,37.3826146,71,Brazil,Shelda Bede,1973-01-01,33.5030801,65,Brazil,3,Vasiliki Arvaniti,1985-03-17,21.2977413,72,Greece,Vasso Karadassiou,1973-01-06,33.4893908,72,Greece,6,"22-20, 15-21, 16-14",01:03:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Klagenfurt,Austria,2010,2010-07-27,M,62,Clemens Doppler,1980-09-06,29.8863792,79,Austria,Matthias Mellitzer,1980-09-09,29.8781656,77,Austria,32,Jefferson Bellaguarda,1976-09-12,33.8699521,76,Switzerland,Martin Laciga,1975-01-25,35.5017112,77,Switzerland,"25, Q2","25-23, 21-19",00:49:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Huntington Beach,United States,2005,2005-08-11,M,30,Karch Kiraly,2060-11-03,44.7693361,74,United States,Mike Lambert,1974-04-14,31.3264887,78,United States,7,Larry Witt,1979-07-13,26.0807666,78,United States,Sean Rosenthal,1980-06-19,25.1444216,76,United States,6,"14-21, 21-18, 15-11",00:53:00,Winner's Bracket,Round 4,47,25,3,0.468,0,1,0,11,19,10,3,0.368,0,1,6,4,40,22,9,0.325,1,1,2,10,33,19,4,0.455,0,1,1,13
FIVB,Rio de Janeiro,Brazil,2017,2017-05-16,W,6,Josemari Alves,1979-01-31,38.2888433,68,Brazil,Liliane Maestrini,1987-10-26,29.5550992,73,Brazil,"14, Q1",Ievgeniia Shchypkova,1987-08-15,29.7522245,72,Ukraine,Valentyna Davidova,1987-08-25,29.724846,71,Ukraine,19,"21-17, 21-17",00:35:00,Pool C,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Seattle,United States,2018,2018-06-21,W,24,Amanda Dowdy,1990-05-05,28.128679,74,United States,Irene Pollock,1988-11-10,29.6098563,73,United States,8,Karissa Cook,1991-04-08,27.2032854,71,United States,Katie Spieler,1994-10-27,23.6495551,65,United States,5,"21-18, 18-21, 15-11",00:56:00,Contender's Bracket,Round 3,25,15,2,0.52,0,2,2,3,45,27,3,0.533,1,2,0,23,25,14,2,0.48,3,2,1,1,53,23,6,0.321,1,1,0,17
AVP,Chicago,United States,2008,2008-07-10,M,21,Kevin Wong,1972-09-12,35.8247775,79,United States,Matt Olson,1980-01-02,28.5201916,74,United States,3,Bill Strickland,1980-12-26,27.5373032,81,United States,Dax Holdren,1972-09-04,35.8466804,75,United States,14,"21-17, 21-14",00:48:00,Winner's Bracket,Round 2,16,11,1,0.625,0,2,4,8,40,21,4,0.425,0,1,0,19,12,5,2,0.25,2,3,4,4,40,15,3,0.3,0,1,0,15
FIVB,Aydin,Turkey,2019,2019-05-16,W,8,Alexandra Moiseeva,1983-02-09,36.2628337,73,Russia,Ekaterina Syrtseva,1990-08-11,28.7611225,73,Russia,"11, Q2",Arianna Barboni,1996-11-13,22.5023956,74,Italy,Claudia Puccinelli,1997-11-25,21.4702259,69,Italy,Q15,"21-19, 21-13",00:29:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Vienna,Austria,2017,2017-07-28,M,18,Sam Pedlow,1987-06-14,30.1218344,77,Canada,Sam Schachter,1990-05-08,27.2224504,78,Canada,16,Ade Rachmawan,1992-12-03,24.6488706,74,Indonesia,Mohammad Ashfiya,1996-05-19,21.1909651,73,Indonesia,33,"21-13, 21-12",00:30:00,Pool I,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Chicago,United States,2008,2008-07-10,W,39,Angela Lewis,1978-03-05,30.349076,71,United States,Priscilla Piantadosi-Lima,1979-12-19,28.5585216,71,Brazil,15,Chrissie Zartman,1983-09-29,24.7802875,63,United States,Sara Johnson,1982-04-26,26.2067077,73,United States,16,"21-16, 21-15",00:41:00,Contender's Bracket,Round 2,26,13,3,0.385,0,2,0,19,36,17,3,0.389,1,2,0,11,36,13,3,0.278,1,1,0,14,21,7,3,0.19,0,0,2,10
FIVB,London,England,2012,2012-07-28,M,21,Janis Smedins,1987-07-31,24.9938398,75,Latvia,Martins Plavins,1985-05-08,27.2224504,75,Latvia,17,Igor Hernandez,1977-01-22,35.5126626,75,Venezuela,Jesus Villafane,1986-11-19,25.6892539,73,Venezuela,20,"21-14, 21-16",00:38:00,Pool E,Round 2,11,7,0,0.636,0,2,2,4,41,24,0,0.585,0,0,0,18,18,5,0,0.278,0,0,1,6,37,19,0,0.514,0,0,0,7
FIVB,Acapulco,Mexico,2006,2006-10-24,M,49,Jorre Kjemperud,2068-08-31,38.146475,74,Norway,Tarjei Skarlund,1978-11-06,27.9644079,75,Norway,17,Ahren Cadieux,1975-04-06,31.5509925,76,Canada,Mark Heese,1969-08-15,37.1909651,72,Canada,21,"26-24, 21-14",01:01:00,Contender's Bracket,Round 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2011,2011-07-05,M,56,Pedro Solberg,1986-03-27,25.2731006,76,Brazil,Rhooney Ferramenta,1985-11-07,25.6563997,72,Brazil,"20, Q1",Matteo Martino,1987-01-28,24.4325804,78,Italy,Paolo Nicolai,1988-08-06,22.9103354,80,Italy,21,"21-17, 21-17",00:35:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2002,2002-06-19,M,35,Antonio Cotrino,1976-11-25,25.5633128,79,Spain,Javier Bosma,1969-11-06,32.6160164,75,Spain,"18, Q1",Joao Brenha,1970-05-06,32.1204654,76,Portugal,Miguel Maia,1971-04-23,31.156742,71,Portugal,15,"19-21, 21-18, 15-9",00:54:00,Pool B,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
